,n_meas,sample,acc_prob,acc_pl
0,2,0,0.564047166277453,0.4422693098058983
1,2,1,0.5324049313233841,0.46409171727047893
2,2,2,0.5003440844641286,0.5356183913914403
3,4,0,0.6718573025191521,0.45541087382690876
4,4,1,0.7782989441127592,0.6191524402490517
5,4,2,0.646784419303319,0.48874649000389164
6,6,0,0.8384230426242492,1.0091718029129508
7,6,1,0.8813021368995179,1.457244399837068
8,6,2,0.4984072103879709,0.49468248092637923
9,8,0,0.8498704249608495,0.3220167221933905
10,8,1,0.36245128939088617,0.5753899269730935
11,8,2,0.5441711512425791,1.239935616929016
12,10,0,0.5397651162572918,0.5110880290295661
13,10,1,0.550161665318284,0.97900312732719
14,10,2,0.4719549638148509,0.7850192850279052
15,12,0,0.45141045344127134,0.6610532808590679
16,12,1,0.49464917778976697,0.31181623057628965
17,12,2,0.5778094438364841,1.2725357056220588
18,14,0,0.49361840592408945,0.5845548131775005
19,14,1,0.5091201213361298,0.6215867681467673
20,14,2,0.37108896327912033,0.8582432412246748
21,16,0,0.5961370557806629,1.02338933358385
22,16,1,0.5498155126367,0.42090888845975954
23,16,2,0.24823911617396593,0.4913010923332321
24,18,0,0.2586614964410411,0.6654904137453646
25,18,1,0.2146765831255787,0.8440945875667714
26,18,2,0.2929656622769981,0.18835178054454296
27,20,0,0.49793345560685565,0.5337546910999225
28,20,1,0.5149114777902095,0.5042659367038858
29,20,2,0.281591060228361,0.48768133980418815
30,22,0,0.05753102391787414,0.18259525031127466
31,22,1,0.2195051350522858,0.2730616964719736
32,22,2,0.5051600735191486,0.315245796017991
33,24,0,0.23592654429600418,0.11077956184043238
34,24,1,0.0630899362322932,1.659616578799798
35,24,2,0.34517062378703944,0.2619109128108523
36,26,0,0.16054364873812121,0.43476932503346993
37,26,1,0.22041198094799677,0.2858399130130691
38,26,2,0.1785152819896978,0.14351310435970865
39,28,0,0.14576546725994605,0.18529690048514774
40,28,1,0.0795888140350764,0.14080056294401683
41,28,2,0.14808423714258304,0.007884359618197407
42,30,0,0.21798984551330067,0.35784788339696955
43,30,1,0.04128163570553077,0.02318792208889073
44,30,2,0.05651929812109167,0.6692303089263948
45,32,0,0.13264867236844968,0.005119032423559843
46,32,1,0.008474436382875903,0.006080675557994576
47,32,2,0.08969216309914325,0.00811808683597292
48,34,0,0.009701616903616768,0.010208052055761724
49,34,1,0.012500205607300726,0.010189487678649658
50,34,2,0.011409073959040917,0.013167784595851065
51,36,0,0.03188447266264219,0.007231452413694236
52,36,1,0.004934217256645781,0.005113685727289093
53,36,2,0.014171244815656419,0.012417820136931811
54,38,0,0.006460630479762161,0.0036802147890354162
55,38,1,0.014819448857770859,0.00786001873917334
56,38,2,0.02556038739834407,0.006092258822777483
57,40,0,0.006132508918475502,0.005069580059900229
58,40,1,0.002529928802927569,0.002857099433766357
59,40,2,0.0026148510805206965,0.004039375367514403
60,42,0,0.006246606517660673,0.004336378750401126
61,42,1,0.003907438264625583,0.0029407020614829497
62,42,2,0.004860359183254683,0.0037749237582157223
63,44,0,0.0034166059145592227,0.0031499980250435248
64,44,1,0.003223398588659873,0.0030863609896951234
65,44,2,0.0019526075561098549,0.0016709143739554529
66,46,0,0.00524523990932774,0.005282010601069334
67,46,1,0.004544449302942981,0.0029963155680718407
68,46,2,0.0027232080012105785,0.0027915340733310322
69,48,0,0.001768015912019537,0.0023945662116362687
70,48,1,0.0020774614524415123,0.00214917810963097
71,48,2,0.00542707099924616,0.0033334965588332588
72,50,0,0.00425296739577357,0.0037804846729704877
73,50,1,0.0024786022379983137,0.0017905283628694868
74,50,2,0.002229406508430849,0.002864119929502273
75,52,0,0.0016281917865960246,0.001674593722118089
76,52,1,0.002459122719090112,0.0022651826435094806
77,52,2,0.0027038299971279415,0.002998981707611356
78,54,0,0.0025949488108411526,0.0030875452484633572
79,54,1,0.002090457619943063,0.002087939627992055
80,54,2,0.0026893005816500328,0.0027877066573542882
81,56,0,0.002010335430416563,0.0021953112011720553
82,56,1,0.003676433542207546,0.0036451893554582154
83,56,2,0.0017448669535467907,0.0016157851504871197
84,58,0,0.0019666342261593153,0.0021976373217099795
85,58,1,0.0026545224101592046,0.0020924699043750328
86,58,2,0.001995251046771032,0.0020814317727625687
87,60,0,0.002482756669498973,0.002042287400385831
88,60,1,0.001177533194668398,0.0008784391284382796
89,60,2,0.00241232252540871,0.002543097821991453
90,62,0,0.0015998831626390802,0.001673850634033786
91,62,1,0.0014792633036039644,0.0014801449987888627
92,62,2,0.0017586662347320457,0.0018143816546609586
93,64,0,0.0017341884084902614,0.0017230964615300365
94,64,1,0.001131601729698015,0.0011493047348259252
95,64,2,0.0020482924908167177,0.002032212730946499
