,exps,ranks,acc_pl,acc_prob
0,1,1,0.4104962366083951,0.22143281380823404
1,1,2,0.39098463245072207,0.08877228647577598
2,1,3,0.1204904166730224,-0.18035398424563054
3,1,4,-0.42033417136096723,-0.7478144467763371
4,1,5,-0.854635688738663,-0.60890515186436
5,1,6,-0.0030800299021068026,-0.06920062572993838
6,1,7,-0.2042419364512231,-0.7428783913185655
7,1,8,0.15015156404663774,0.28465088145288436
8,6,1,0.6453752665649938,-0.33332813492733
9,6,2,-0.6390048793851315,0.14917180808404165
10,6,3,-0.23424771358845015,0.053974562546828024
11,6,4,-0.871974528982801,-0.5203010226163938
12,6,5,-0.7209644859051412,-0.4618219131193889
13,6,6,-0.0496939396545267,0.22072794463689946
14,6,7,-0.9423235774903653,-0.23966099198151386
15,6,8,0.1586568171266351,-0.4846200543405726
16,11,1,0.5900437726434107,0.03983793382347917
17,11,2,0.08421042208424873,0.11971659320319794
18,11,3,-0.8269206487282543,-0.12239990606377758
19,11,4,-0.9950817871871279,-0.9961819147619876
20,11,5,-0.2298167434540968,-0.7802718638845657
21,11,6,-0.49449508255084046,-0.24033000667617396
22,11,7,-0.6977088290152751,0.07326997703366567
23,11,8,-0.49743097000006065,-1.7701132049977144
24,16,1,0.5561677374176439,-2.07285875998989
25,16,2,0.08682490610973351,-1.532116894605271
26,16,3,-0.14277110087336287,-1.3098353239124585
27,16,4,-1.3506585201187133,-1.0188632676550513
28,16,5,-0.5065156728685284,-0.561969954744236
29,16,6,-1.2593579573322908,-0.6691160767564903
30,16,7,-0.9323368239405083,-0.7663980055465588
31,16,8,-0.9429713616566301,-1.1474393022117277
32,21,1,-2.619132463384451,-4.264560033712214
33,21,2,-1.7067519387696943,-2.2492401719131236
34,21,3,-0.9057867894626634,-3.0725188063597093
35,21,4,-1.4628396021697188,-1.1718025903416942
36,21,5,-1.0170861272460863,-1.6764606883657291
37,21,6,-0.9256524937940234,-1.3100637793672978
38,21,7,-1.1761791311376921,-1.3198925169275815
39,21,8,-1.6767763889757619,-2.2759195724589527
40,26,1,-4.967913227148042,-4.667993563826939
41,26,2,-3.2770718131774226,-2.2841158548535083
42,26,3,-0.46976107191802546,-1.8052027588048412
43,26,4,-1.2918387036724734,-1.4538209655801217
44,26,5,-2.097425883313156,-1.6156253100659614
45,26,6,-2.551577234147323,-2.1002490038706196
46,26,7,-1.40536750798594,-1.0814843779298537
47,26,8,-2.701033307197232,-2.2791277011074085
48,31,1,-5.620495139905766,-4.526676458572322
49,31,2,-1.1236567522654295,-4.1148735154663365
50,31,3,-2.372828687475289,-3.141953430903036
51,31,4,-1.512979059466106,-1.5365164787898418
52,31,5,-2.449228719822755,-2.532654837146518
53,31,6,-2.4195215385784126,-3.3852673569039107
54,31,7,-1.1935945123884326,-1.6580459032133361
55,31,8,-3.4745561520790837,-3.110621988504313
56,36,1,-5.763148186915339,-4.524186453859314
57,36,2,-3.6272952092743687,-2.8530842651400334
58,36,3,-4.719110252226067,-4.806142390760229
59,36,4,-1.714743377299617,-1.6528034476351217
60,36,5,-2.012446268988477,-2.1299629595656646
61,36,6,-3.5344169734525077,-4.210638517105712
62,36,7,-1.960924270909945,-2.1552625147479
63,36,8,-4.663279612285473,-4.586033471323283
64,41,1,-6.4768922320346265,-6.51725857655097
65,41,2,-6.136365866844132,-5.410832803986079
66,41,3,-5.017623476970279,-4.799716360476746
67,41,4,-1.3232095125713803,-1.6671528921213123
68,41,5,-3.084309254421414,-3.393197906239684
69,41,6,-4.136270437968604,-4.252319341821958
70,41,7,-1.3168533588664215,-1.9518173760694695
71,41,8,-4.676466102374871,-4.789852498340341
72,46,1,-6.636193269441104,-6.120967131615179
73,46,2,-5.663700050534108,-5.868278925857796
74,46,3,-4.922670713067873,-5.08560231937921
75,46,4,-1.3748497111204163,-2.688206516700642
76,46,5,-3.8442542512585924,-3.897789632276921
77,46,6,-4.45560517896573,-4.358057520609504
78,46,7,-4.120013606639111,-3.5804554544153593
79,46,8,-4.773426847185995,-5.0415724148219345
80,51,1,-6.724634470944262,-6.409626162186225
81,51,2,-6.088024000703405,-6.082314323131102
82,51,3,-5.15962915627361,-5.377821279676396
83,51,4,-5.422390429851339,-4.411529260027927
84,51,5,-5.562831593065235,-5.404771415028127
85,51,6,-4.567211278744928,-4.525773070102278
86,51,7,-2.5607281400799096,-4.047225126444834
87,51,8,-5.101512982492577,-5.3512140576121
88,56,1,-6.84454241989235,-6.7433735512201745
89,56,2,-6.3918735689493325,-6.0446505075251125
90,56,3,-5.342288889003511,-5.4783266030887035
91,56,4,-5.744422068224333,-5.815657437035314
92,56,5,-5.707567576630384,-5.268779640291237
93,56,6,-4.965894181022437,-4.856970100111275
94,56,7,-4.73411428692191,-4.466333000006285
95,56,8,-4.802903706132483,-5.437620719355921
96,61,1,-6.77221485829996,-6.524487321730995
97,61,2,-6.55029973233109,-6.70559938765774
98,61,3,-5.479508737972505,-5.658227441456247
99,61,4,-5.612779378210329,-5.394704982598167
100,61,5,-5.9436924557327355,-5.584574602597446
101,61,6,-5.29560783407115,-5.5884031922636845
102,61,7,-5.711223840727454,-5.765253527196002
103,61,8,-5.377978457635797,-5.473880664990773
