,prop,coef,err,acc_rate
0,normal_dep,0.001,0.09324576349956282,0.6312000000000001
1,normal_dep,0.01,0.11503601082915248,0.034466666666666666
2,normal_dep,0.05,0.8982019587676849,0.0002
3,normal_dep,0.1,0.9352061435522704,0.0
4,normal_dep,0.5,0.9352061435522704,0.0
5,normal_dep,1.0,0.9352061435522704,0.0
6,normal_dep,10.0,0.9352061435522704,0.0
7,exp_dep,0.001,0.8381632593589359,0.8577333333333333
8,exp_dep,0.01,0.6265512425979755,0.7637999999999999
9,exp_dep,0.05,0.4713763091961162,0.4808666666666667
10,exp_dep,0.1,0.42267410698026603,0.24286666666666668
11,exp_dep,0.5,0.47660440790398956,0.022466666666666666
12,exp_dep,1.0,0.4489916362108563,0.009
13,exp_dep,10.0,0.9352061435522704,0.0
14,normal,0.001,0.9352061435522704,0.0
15,normal,0.01,0.9352061435522704,0.0
16,normal,0.05,0.31649671617663366,0.0016
17,normal,0.1,0.9352061435522704,0.0
18,normal,0.5,0.9352061435522704,0.0
19,normal,1.0,0.9352061435522704,0.0
20,normal,10.0,0.9352061435522704,0.0
